Region;year;date;id;Abandono
Comunitat Valenciana;2015.0;2019-11-04;Valencia2015.0;21.4439
Extremadura;2015.0;2019-11-04;Extremadura2015.0;24.4793
Galicia;2015.0;2019-11-04;Galicia2015.0;17.0342
Madrid, Comunidad de;2015.0;2019-11-04;Madrid2015.0;15.5511
Murcia, Región de;2015.0;2019-11-04;Murcia2015.0;23.5849
Navarra, Comunidad Foral de (3);2015.0;2019-11-04;Navarra2015.0;10.7941
País Vasco;2015.0;2019-11-04;País Vasco2015.0;9.6541
Rioja, La (3);2015.0;2019-11-04;Rioja2015.0;21.539
Ceuta (3);2015.0;2019-11-04;Ceuta2015.0;29.8291
Melilla (3);2015.0;2019-11-04;Melilla2015.0;24.1135
TOTAL;2016.0;2019-11-04;Nacional2016.0;18.9764
Andalucía;2016.0;2019-11-04;Andalucía2016.0;23.1074
Aragón;2016.0;2019-11-04;Aragón2016.0;19.0849
Asturias, Principado de;2016.0;2019-11-04;Asturias2016.0;16.5757
Balears, Illes;2016.0;2019-11-04;Balears2016.0;26.8313
Canarias;2016.0;2019-11-04;Canarias2016.0;18.8521
Cantabria (3);2016.0;2019-11-04;Cantabria2016.0;8.5697
Castilla y León;2016.0;2019-11-04;Castilla y León2016.0;17.2815
Castilla-La Mancha;2016.0;2019-11-04;Castilla - La Mancha2016.0;23.2491
Cataluña;2016.0;2019-11-04;Cataluña2016.0;17.9991
Comunitat Valenciana;2016.0;2019-11-04;Valencia2016.0;20.1648
Extremadura;2016.0;2019-11-04;Extremadura2016.0;20.4223
Galicia;2016.0;2019-11-04;Galicia2016.0;15.2005
Madrid, Comunidad de;2016.0;2019-11-04;Madrid2016.0;14.6086
Murcia, Región de;2016.0;2019-11-04;Murcia2016.0;26.4252
Navarra, Comunidad Foral de (3);2016.0;2019-11-04;Navarra2016.0;13.3939
País Vasco;2016.0;2019-11-04;País Vasco2016.0;7.9034
Rioja, La (3);2016.0;2019-11-04;Rioja2016.0;17.7751
Ceuta (3);2016.0;2019-11-04;Ceuta2016.0;21.5204
Melilla (3);2016.0;2019-11-04;Melilla2016.0;24.3824
TOTAL;2017.0;2019-11-04;Nacional2017.0;18.28
Andalucía;2017.0;2019-11-04;Andalucía2017.0;23.4913
Aragón;2017.0;2019-11-04;Aragón2017.0;16.3528
Asturias, Principado de;2017.0;2019-11-04;Asturias2017.0;14.7516
Balears, Illes;2017.0;2019-11-04;Balears2017.0;26.5499
Canarias;2017.0;2019-11-04;Canarias2017.0;17.5463
Cantabria (3);2017.0;2019-11-04;Cantabria2017.0;8.9071
Castilla y León;2017.0;2019-11-04;Castilla y León2017.0;16.6689
Castilla-La Mancha;2017.0;2019-11-04;Castilla - La Mancha2017.0;22.0576
Cataluña;2017.0;2019-11-04;Cataluña2017.0;17.045
Comunitat Valenciana;2017.0;2019-11-04;Valencia2017.0;20.3324
Extremadura;2017.0;2019-11-04;Extremadura2017.0;19.2288
Galicia;2017.0;2019-11-04;Galicia2017.0;14.9152
Madrid, Comunidad de;2017.0;2019-11-04;Madrid2017.0;13.8844
Murcia, Región de;2017.0;2019-11-04;Murcia2017.0;23.0548
Navarra, Comunidad Foral de (3);2017.0;2019-11-04;Navarra2017.0;11.2662
País Vasco;2017.0;2019-11-04;País Vasco2017.0;7.0217
Rioja, La (3);2017.0;2019-11-04;Rioja2017.0;12.8728
Ceuta (3);2017.0;2019-11-04;Ceuta2017.0;20.1024
Melilla (3);2017.0;2019-11-04;Melilla2017.0;27.5097
TOTAL;2018.0;2019-11-04;Nacional2018.0;17.9482
Andalucía;2018.0;2019-11-04;Andalucía2018.0;21.9043
Aragón;2018.0;2019-11-04;Aragón2018.0;15.7558
Asturias, Principado de;2018.0;2019-11-04;Asturias2018.0;12.551
Balears, Illes;2018.0;2019-11-04;Balears2018.0;24.363
Canarias;2018.0;2019-11-04;Canarias2018.0;20.9276
Cantabria (3);2018.0;2019-11-04;Cantabria2018.0;9.7795
Castilla y León;2018.0;2019-11-04;Castilla y León2018.0;13.9173
Castilla-La Mancha;2018.0;2019-11-04;Castilla - La Mancha2018.0;20.5032
Cataluña;2018.0;2019-11-04;Cataluña2018.0;17.0241
Comunitat Valenciana;2018.0;2019-11-04;Valencia2018.0;20.2294
Extremadura;2018.0;2019-11-04;Extremadura2018.0;20.9021
Galicia;2018.0;2019-11-04;Galicia2018.0;14.2859
Madrid, Comunidad de;2018.0;2019-11-04;Madrid2018.0;14.4211
Murcia, Región de;2018.0;2019-11-04;Murcia2018.0;24.0615
Navarra, Comunidad Foral de (3);2018.0;2019-11-04;Navarra2018.0;11.3795
País Vasco;2018.0;2019-11-04;País Vasco2018.0;6.9374
Rioja, La (3);2018.0;2019-11-04;Rioja2018.0;17.1138
Ceuta (3);2018.0;2019-11-04;Ceuta2018.0;23.3725
Melilla (3);2018.0;2019-11-04;Melilla2018.0;29.5448
