Region;year;date;id;TasaParo
Galicia;2008;2019-10-28;Galicia2008;21.05
Madrid;2008;2019-10-28;Madrid2008;20.75
Murcia;2008;2019-10-28;Murcia2008;23.37
Navarra;2008;2019-10-28;Navarra2008;18.8
País Vasco;2008;2019-10-28;País Vasco2008;19.54
Rioja;2008;2019-10-28;Rioja2008;21.73
Ceuta;2008;2019-10-28;Ceuta2008;39.57
Melilla;2008;2019-10-28;Melilla2008;38.17
Nacional;2007;2019-10-28;Nacional2007;18.09
Andalucía;2007;2019-10-28;Andalucía2007;23.22
Aragón;2007;2019-10-28;Aragón2007;13.66
Asturias;2007;2019-10-28;Asturias2007;18.89
Balears;2007;2019-10-28;Balears2007;15.2
Canarias;2007;2019-10-28;Canarias2007;22.1
Cantabria;2007;2019-10-28;Cantabria2007;13.82
Castilla y León;2007;2019-10-28;Castilla y León2007;17.34
Castilla - La Mancha;2007;2019-10-28;Castilla - La Mancha2007;15.76
Cataluña;2007;2019-10-28;Cataluña2007;13.36
Comunitat Valenciana;2007;2019-10-28;Valencia2007;19.08
Extremadura;2007;2019-10-28;Extremadura2007;26.17
Galicia;2007;2019-10-28;Galicia2007;15.9
Madrid;2007;2019-10-28;Madrid2007;16.75
Murcia;2007;2019-10-28;Murcia2007;16.61
Navarra;2007;2019-10-28;Navarra2007;11.79
País Vasco;2007;2019-10-28;País Vasco2007;17.45
Rioja;2007;2019-10-28;Rioja2007;16.56
Ceuta;2007;2019-10-28;Ceuta2007;38.25
Melilla;2007;2019-10-28;Melilla2007;31.53
Nacional;2006;2019-10-28;Nacional2006;17.89
Andalucía;2006;2019-10-28;Andalucía2006;21.67
Aragón;2006;2019-10-28;Aragón2006;11.81
Asturias;2006;2019-10-28;Asturias2006;22.43
Balears;2006;2019-10-28;Balears2006;13.36
Canarias;2006;2019-10-28;Canarias2006;23.42
Cantabria;2006;2019-10-28;Cantabria2006;16.65
Castilla y León;2006;2019-10-28;Castilla y León2006;16.9
Castilla - La Mancha;2006;2019-10-28;Castilla - La Mancha2006;17.01
Cataluña;2006;2019-10-28;Cataluña2006;14.6
Comunitat Valenciana;2006;2019-10-28;Valencia2006;17.94
Extremadura;2006;2019-10-28;Extremadura2006;24.17
Galicia;2006;2019-10-28;Galicia2006;17.8
Madrid;2006;2019-10-28;Madrid2006;14.69
Murcia;2006;2019-10-28;Murcia2006;17.1
Navarra;2006;2019-10-28;Navarra2006;14.17
País Vasco;2006;2019-10-28;País Vasco2006;21.07
Rioja;2006;2019-10-28;Rioja2006;14.94
Ceuta;2006;2019-10-28;Ceuta2006;54.76
Melilla;2006;2019-10-28;Melilla2006;23.68
