fila,subfila,columna,subcolumna,valor
Extremadura,,2007,EXPORT,"1082377,20"
Galicia,,2007,EXPORT,"16669172,93"
"Madrid, Comunidad de",,2007,EXPORT,"20289297,11"
"Murcia, Región de",,2007,EXPORT,"4410828,69"
"Navarra, Comunidad Foral de",,2007,EXPORT,"5728843,56"
País Vasco,,2007,EXPORT,"19072434,49"
"Rioja, La",,2007,EXPORT,"1144762,56"
Ceuta,,2007,EXPORT,"1466,37"
Melilla,,2007,EXPORT,"5008,76"
No determinado,,2007,EXPORT,"472824,75"
Andalucía,,2007,IMPORT,"24007009,08"
Aragón,,2007,IMPORT,"9047685,05"
"Asturias, Principado de",,2007,IMPORT,"4572955,13"
"Balears, Illes",,2007,IMPORT,"2070246,77"
Canarias,,2007,IMPORT,"5324701,97"
Cantabria,,2007,IMPORT,"2728942,24"
Castilla y León,,2007,IMPORT,"9709413,68"
Castilla-La Mancha,,2007,IMPORT,"8147603,41"
Cataluña,,2007,IMPORT,"80214939,06"
Comunitat Valenciana,,2007,IMPORT,"23498945,67"
Extremadura,,2007,IMPORT,"990759,74"
Galicia,,2007,IMPORT,"16150599,03"
"Madrid, Comunidad de",,2007,IMPORT,"62353700,32"
"Murcia, Región de",,2007,IMPORT,"8924097,28"
"Navarra, Comunidad Foral de",,2007,IMPORT,"5275206,92"
País Vasco,,2007,IMPORT,"18900417,71"
"Rioja, La",,2007,IMPORT,"927310,32"
Ceuta,,2007,IMPORT,"258449,71"
Melilla,,2007,IMPORT,"183495,78"
No determinado,,2007,IMPORT,"1751834,57"
Andalucía,,2008,EXPORT,"16832877,93"
Aragón,,2008,EXPORT,"8482588,51"
"Asturias, Principado de",,2008,EXPORT,"3177731,60"
"Balears, Illes",,2008,EXPORT,"1476641,00"
Canarias,,2008,EXPORT,"2215120,04"
Cantabria,,2008,EXPORT,"2403823,95"
Castilla y León,,2008,EXPORT,"9621666,37"
Castilla-La Mancha,,2008,EXPORT,"3242701,56"
Cataluña,,2008,EXPORT,"50514433,42"
Comunitat Valenciana,,2008,EXPORT,"19293282,50"
Extremadura,,2008,EXPORT,"1251672,20"
Galicia,,2008,EXPORT,"15739688,58"
"Madrid, Comunidad de",,2008,EXPORT,"21853779,02"
"Murcia, Región de",,2008,EXPORT,"4588273,34"
"Navarra, Comunidad Foral de",,2008,EXPORT,"6378934,36"
País Vasco,,2008,EXPORT,"20279233,70"
"Rioja, La",,2008,EXPORT,"1255768,40"
Ceuta,,2008,EXPORT,"2572,19"
Melilla,,2008,EXPORT,"9946,79"
No determinado,,2008,EXPORT,"607115,96"
Andalucía,,2008,IMPORT,"27371277,78"
Aragón,,2008,IMPORT,"8054050,11"
"Asturias, Principado de",,2008,IMPORT,"4760074,11"
